queenSurroundedWeight,antOnBoardWeight,piecesOnBoardWeight,queenPinWeight,beetledQueenWeight,queenDefenderWeight,beetleQueenDistanceWeight,playQueenWeight,WL
12, 79, 17, 83, 78, 9, 71, 45, 1
11, 47, 40, 36, 77, 8, 58, 47, -1
0, 91, 47, 56, 79, 33, 41, 90, 0
8, 79, 41, 5, 73, 51, 89, 97, 1
18, 8, 76, 52, 55, 31, 8, 22, -1
53, 45, 6, 36, 88, 12, 81, 48, -1
26, 18, 5, 1, 40, 11, 71, 78, 1
99, 36, 15, 9, 73, 52, 95, 24, 1
69, 23, 92, 38, 31, 66, 86, 53, -1
93, 99, 83, 27, 21, 0, 44, 81, 1
29, 42, 22, 58, 88, 16, 33, 74, 1
16, 96, 55, 17, 12, 74, 18, 58, 1
43, 83, 1, 67, 82, 15, 90, 95, 1
96, 19, 99, 73, 90, 30, 17, 28, -1
14, 19, 90, 5, 95, 52, 78, 12, 1
88, 87, 82, 91, 70, 55, 61, 0, -1
69, 87, 76, 14, 70, 61, 71, 81, 1
15, 23, 94, 75, 87, 87, 64, 43, 1
12, 33, 22, 57, 42, 6, 32, 57, 1
26, 40, 43, 50, 95, 49, 40, 59, 0
75, 85, 37, 48, 40, 48, 33, 38, 0
2, 91, 45, 95, 4, 98, 94, 5, 1
41, 63, 7, 49, 80, 46, 64, 79, 0
55, 15, 72, 51, 9, 12, 65, 10, 1
96, 86, 75, 15, 58, 76, 25, 25, 0
46, 44, 12, 75, 56, 93, 47, 55, 0
6, 71, 87, 65, 95, 20, 58, 97, 1
27, 24, 40, 11, 31, 14, 91, 7, 0
62, 55, 31, 25, 97, 56, 97, 19, 0
95, 93, 84, 42, 33, 62, 42, 92, 0
58, 42, 42, 75, 29, 22, 46, 91, 0
11, 4, 3, 92, 74, 25, 93, 57, 1
26, 6, 71, 82, 74, 41, 59, 6, 0
22, 19, 97, 44, 61, 26, 93, 57, 1
