queenSurroundedWeight,antOnBoardWeight,piecesOnBoardWeight,queenPinWeight,beetledQueenWeight,queenDefenderWeight,beetleQueenDistanceWeight,playQueenWeight,WL
41, 5, 52, 25, 63, 24, 39, 0, -1
69, 31, 34, 0, 70, 51, 57, 11, 1
89, 76, 50, 63, 66, 27, 66, 35, 0
35, 81, 73, 14, 36, 90, 99, 74, -1
5, 90, 34, 55, 38, 7, 64, 22, 1
49, 29, 49, 60, 96, 34, 61, 30, 1
77, 98, 87, 89, 4, 97, 77, 42, -1
84, 71, 0, 88, 21, 8, 28, 83, -1
51, 45, 92, 43, 85, 88, 84, 36, 1
89, 20, 75, 86, 99, 62, 6, 12, -1
83, 5, 32, 58, 60, 33, 75, 34, -1
22, 6, 41, 52, 37, 37, 36, 57, -1
41, 88, 14, 60, 17, 19, 20, 78, -1
69, 72, 19, 29, 79, 41, 66, 28, 1
51, 87, 8, 46, 28, 85, 95, 63, -1
6, 64, 75, 20, 84, 2, 70, 72, 1
52, 45, 30, 39, 83, 80, 23, 2, -1
88, 91, 47, 42, 9, 39, 43, 66, -1
26, 9, 53, 96, 39, 11, 79, 25, -1
59, 2, 98, 46, 90, 41, 50, 71, 0
33, 51, 55, 66, 14, 49, 9, 28, 0
78, 78, 17, 85, 42, 87, 21, 32, -1
30, 69, 96, 71, 20, 97, 9, 77, 0
33, 31, 13, 4, 89, 87, 91, 70, -1
67, 69, 53, 54, 40, 83, 62, 91, 0
99, 22, 28, 4, 83, 35, 13, 4, 0
64, 78, 41, 65, 69, 86, 95, 83, -1
41, 3, 38, 75, 61, 46, 15, 41, 0
53, 35, 70, 35, 10, 98, 20, 18, 0
87, 71, 69, 17, 46, 68, 98, 75, 0
75, 31, 87, 81, 14, 31, 85, 58, 0
41, 83, 11, 48, 73, 31, 5, 89, -1
91, 98, 80, 68, 52, 33, 23, 62, 0
42, 98, 24, 66, 50, 76, 27, 51, -1
